id,homeoffice,vertragsart,erfahrungslevel,gehalt_min_eur,gehalt_zeitraum,skills_top3,notiz
16724-0062809539-S,ja,festanstellung,mid,,,Power BI|MS Office|Jedox,
18896-8565435-S,teilweise,festanstellung,mid,,,Power BI|SQL|OLAP,
11949-17196786-S,teilweise,festanstellung,mid,55000,jahr,Python|Maschin_Learning|Datenmodellierung,
11949-17215590-S,nicht_genannt,festanstellung,egal,3100,monat,nicht_geannt,
11949-17214039-S,teilweise,festanstellung,senior,46200,jahr,PenTesting|IAM|Netzwerksicherheit,
10000-1203863577-S,nicht_genannt,ausbildung,junior,,,nicht_genannt,
13151-1570027-1-S,teilweise,praktikum,mid,,,SQL|BI,
13151-1568687-1-S,teilweise,werkstudent,mid,,,SQL,
13644-307612-S,teilweise,festanstellung,mid,,,SAS|SQL,
12265-489382_JB5131539-S,teilweise,festanstellung,mid,,,nicht_genannt,
14036-0005680f46a001-S,teilweise,festanstellung,mid,,,MS-Office|SAPBW|SAPBO,
14225-2aaa34ba5c393d2a-S,teilweise,sonstiges,nicht_genannt,,,nicht_genannt,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
